sezon,kolejka,gospodarz,gosc,wynik
24/25,14,Zagłębie Lubin,Śląsk Wrocław,3:0
24/25,15,Cracovia Kraków,GKS Katowice,3:4
24/25,15,Jagiellonia Białystok,Raków Częstochowa,2:2
24/25,15,Korona Kielce,Lechia Gdańsk,0:0
24/25,15,Lech Poznań,Legia Warszawa,5:2
24/25,15,Piast Gliwice,Motor Lublin,2:3
24/25,15,Pogoń Szczecin,Radomiak Radom,0:1
24/25,15,Stal Mielec,Puszcza Niepołomice,2:0
24/25,15,Śląsk Wrocław,Górnik Zabrze,0:1
24/25,15,Widzew Łódź,Zagłębie Lubin,2:0
24/25,16,Górnik Zabrze,Piast Gliwice,1:0
24/25,16,Jagiellonia Białystok,Śląsk Wrocław,2:2
24/25,16,Lech Poznań,GKS Katowice,2:0
24/25,16,Lechia Gdańsk,Pogoń Szczecin,0:3
24/25,16,Legia Warszawa,Cracovia Kraków,3:2
24/25,16,Puszcza Niepołomice,Widzew Łódź,2:0
24/25,16,Radomiak Radom,Stal Mielec,1:2
24/25,16,Raków Częstochowa,Korona Kielce,1:1
24/25,16,Zagłębie Lubin,Motor Lublin,1:2
24/25,17,Cracovia Kraków,Zagłębie Lubin,1:1
24/25,17,GKS Katowice,Lechia Gdańsk,2:0
24/25,17,Korona Kielce,Górnik Zabrze,2:4
24/25,17,Motor Lublin,Radomiak Radom,1:0
24/25,17,Piast Gliwice,Lech Poznań,0:0
24/25,17,Pogoń Szczecin,Jagiellonia Białystok,1:1
24/25,17,Stal Mielec,Legia Warszawa,2:2
24/25,17,Śląsk Wrocław,Puszcza Niepołomice,0:1
24/25,17,Widzew Łódź,Raków Częstochowa,2:3
24/25,18,Górnik Zabrze,Lech Poznań,2:1
24/25,18,Korona Kielce,Pogoń Szczecin,0:0
24/25,18,Lechia Gdańsk,Śląsk Wrocław,1:0
24/25,18,Piast Gliwice,Cracovia Kraków,0:0
24/25,18,Puszcza Niepołomice,Jagiellonia Białystok,1:1
24/25,18,Radomiak Radom,GKS Katowice,1:1
24/25,18,Raków Częstochowa,Motor Lublin,2:2
24/25,18,Widzew Łódź,Stal Mielec,2:1
24/25,18,Zagłębie Lubin,Legia Warszawa,0:3
24/25,19,Cracovia Kraków,Raków Częstochowa,0:0
24/25,19,GKS Katowice,Stal Mielec,1:0
24/25,19,Górnik Zabrze,Puszcza Niepołomice,1:1
24/25,19,Jagiellonia Białystok,Radomiak Radom,5:0
24/25,19,Lech Poznań,Widzew Łódź,4:1
24/25,19,Legia Warszawa,Korona Kielce,1:1
24/25,19,Motor Lublin,Lechia Gdańsk,1:1
24/25,19,Pogoń Szczecin,Zagłębie Lubin,1:0
24/25,19,Śląsk Wrocław,Piast Gliwice,1:3
24/25,20,Korona Kielce,Motor Lublin,1:0
24/25,20,Lechia Gdańsk,Lech Poznań,1:0
24/25,20,Piast Gliwice,Legia Warszawa,1:0
24/25,20,Pogoń Szczecin,Górnik Zabrze,3:0
24/25,20,Puszcza Niepołomice,Zagłębie Lubin,1:2
24/25,20,Radomiak Radom,Śląsk Wrocław,1:1
24/25,20,Raków Częstochowa,GKS Katowice,1:2
24/25,20,Stal Mielec,Jagiellonia Białystok,2:1
24/25,20,Widzew Łódź,Cracovia Kraków,1:1
24/25,21,Cracovia Kraków,Korona Kielce,1:1
24/25,21,GKS Katowice,Piast Gliwice,0:0
24/25,21,Górnik Zabrze,Radomiak Radom,3:2
24/25,21,Jagiellonia Białystok,Motor Lublin,3:0
24/25,21,Lech Poznań,Raków Częstochowa,0:1
24/25,21,Legia Warszawa,Puszcza Niepołomice,2:0
24/25,21,Stal Mielec,Pogoń Szczecin,1:2
24/25,21,Śląsk Wrocław,Widzew Łódź,3:0
24/25,21,Zagłębie Lubin,Lechia Gdańsk,1:3
24/25,22,Cracovia Kraków,Jagiellonia Białystok,2:2
24/25,22,Korona Kielce,Śląsk Wrocław,2:0
24/25,22,Lech Poznań,Zagłębie Lubin,3:1
24/25,22,Lechia Gdańsk,Puszcza Niepołomice,0:2
24/25,22,Motor Lublin,GKS Katowice,3:2
24/25,22,Piast Gliwice,Stal Mielec,2:2
24/25,22,Radomiak Radom,Legia Warszawa,3:1
24/25,22,Raków Częstochowa,Górnik Zabrze,1:0
24/25,22,Widzew Łódź,Pogoń Szczecin,0:4
24/25,23,Górnik Zabrze,Cracovia Kraków,0:1
24/25,23,Jagiellonia Białystok,GKS Katowice,1:0
24/25,23,Legia Warszawa,Śląsk Wrocław,3:1
24/25,23,Pogoń Szczecin,Lech Poznań,0:3
24/25,23,Puszcza Niepołomice,Motor Lublin,0:1
24/25,23,Radomiak Radom,Widzew Łódź,1:1
24/25,23,Raków Częstochowa,Lechia Gdańsk,3:1
24/25,23,Stal Mielec,Korona Kielce,0:1
24/25,23,Zagłębie Lubin,Piast Gliwice,0:1
24/25,24,Cracovia Kraków,Radomiak Radom,1:2
24/25,24,GKS Katowice,Zagłębie Lubin,1:0
24/25,24,Korona Kielce,Puszcza Niepołomice,2:1
24/25,24,Lech Poznań,Stal Mielec,3:1
24/25,24,Lechia Gdańsk,Górnik Zabrze,1:2
24/25,24,Motor Lublin,Legia Warszawa,3:3
24/25,24,Piast Gliwice,Raków Częstochowa,0:3
24/25,24,Śląsk Wrocław,Pogoń Szczecin,1:1
24/25,24,Widzew Łódź,Jagiellonia Białystok,0:1
24/25,25,Górnik Zabrze,Motor Lublin,4:0
24/25,25,Jagiellonia Białystok,Lech Poznań,2:1
24/25,25,Pogoń Szczecin,Cracovia Kraków,5:2
24/25,25,Puszcza Niepołomice,Piast Gliwice,2:1
24/25,25,Radomiak Radom,Lechia Gdańsk,2:1
24/25,25,Raków Częstochowa,Legia Warszawa,3:2
24/25,25,Stal Mielec,Śląsk Wrocław,1:4
24/25,25,Widzew Łódź,GKS Katowice,1:0
24/25,25,Zagłębie Lubin,Korona Kielce,1:1
24/25,26,Cracovia Kraków,Puszcza Niepołomice,3:1
24/25,26,GKS Katowice,Górnik Zabrze,2:1
24/25,26,Korona Kielce,Radomiak Radom,1:3
24/25,26,Lechia Gdańsk,Jagiellonia Białystok,1:0
24/25,26,Legia Warszawa,Pogoń Szczecin,0:0
24/25,26,Motor Lublin,Stal Mielec,4:1
24/25,26,Piast Gliwice,Widzew Łódź,0:2
24/25,26,Śląsk Wrocław,Lech Poznań,3:1
24/25,26,Zagłębie Lubin,Raków Częstochowa,0:2
24/25,27,Górnik Zabrze,Legia Warszawa,1:2
24/25,27,Jagiellonia Białystok,Piast Gliwice,1:1
24/25,27,Lech Poznań,Korona Kielce,2:0
24/25,27,Pogoń Szczecin,GKS Katowice,4:0
24/25,27,Puszcza Niepołomice,Raków Częstochowa,1:1
24/25,27,Radomiak Radom,Zagłębie Lubin,0:1
24/25,27,Stal Mielec,Cracovia Kraków,1:1
24/25,27,Śląsk Wrocław,Motor Lublin,1:1
24/25,27,Widzew Łódź,Lechia Gdańsk,2:0
24/25,28,Cracovia Kraków,Śląsk Wrocław,2:4
24/25,28,GKS Katowice,Puszcza Niepołomice,3:1
24/25,28,Korona Kielce,Widzew Łódź,2:1
24/25,28,Lechia Gdańsk,Stal Mielec,3:2
24/25,28,Legia Warszawa,Jagiellonia Białystok,0:1
24/25,28,Motor Lublin,Lech Poznań,1:2
24/25,28,Piast Gliwice,Pogoń Szczecin,2:1
24/25,28,Raków Częstochowa,Radomiak Radom,2:1
24/25,28,Zagłębie Lubin,Górnik Zabrze,2:1
24/25,29,Jagiellonia Białystok,Zagłębie Lubin,1:3
24/25,29,Lech Poznań,Cracovia Kraków,2:1
24/25,29,Legia Warszawa,Lechia Gdańsk,2:1
24/25,29,Piast Gliwice,Korona Kielce,1:1
24/25,29,Pogoń Szczecin,Raków Częstochowa,1:0
24/25,29,Puszcza Niepołomice,Radomiak Radom,2:2
24/25,29,Stal Mielec,Górnik Zabrze,0:0
24/25,29,Śląsk Wrocław,GKS Katowice,0:2
24/25,29,Widzew Łódź,Motor Lublin,1:2
24/25,30,GKS Katowice,Legia Warszawa,1:3
24/25,30,Górnik Zabrze,Widzew Łódź,0:0
24/25,30,Korona Kielce,Jagiellonia Białystok,3:1
24/25,30,Lechia Gdańsk,Piast Gliwice,3:1
24/25,30,Motor Lublin,Cracovia Kraków,0:1
24/25,30,Puszcza Niepołomice,Pogoń Szczecin,4:5
24/25,30,Radomiak Radom,Lech Poznań,2:2
24/25,30,Raków Częstochowa,Śląsk Wrocław,3:0
24/25,30,Zagłębie Lubin,Stal Mielec,2:2
24/25,31,Cracovia Kraków,Lechia Gdańsk,0:2
24/25,31,Jagiellonia Białystok,Górnik Zabrze,1:1
24/25,31,Korona Kielce,GKS Katowice,2:1
24/25,31,Lech Poznań,Puszcza Niepołomice,8:1
24/25,31,Piast Gliwice,Radomiak Radom,0:0
24/25,31,Pogoń Szczecin,Motor Lublin,3:0
24/25,31,Stal Mielec,Raków Częstochowa,0:2
24/25,31,Śląsk Wrocław,Zagłębie Lubin,3:1
24/25,31,Widzew Łódź,Legia Warszawa,0:2
24/25,32,GKS Katowice,Cracovia Kraków,2:1
24/25,32,Górnik Zabrze,Śląsk Wrocław,2:0
24/25,32,Lechia Gdańsk,Korona Kielce,3:2
24/25,32,Legia Warszawa,Lech Poznań,0:1
24/25,32,Motor Lublin,Piast Gliwice,1:4
24/25,32,Puszcza Niepołomice,Stal Mielec,2:3
24/25,32,Radomiak Radom,Pogoń Szczecin,2:0
24/25,32,Raków Częstochowa,Jagiellonia Białystok,1:2
24/25,32,Zagłębie Lubin,Widzew Łódź,2:1
24/25,33,Cracovia Kraków,Legia Warszawa,3:1
24/25,33,GKS Katowice,Lech Poznań,2:2
24/25,33,Korona Kielce,Raków Częstochowa,1:1
24/25,33,Motor Lublin,Zagłębie Lubin,1:0
24/25,33,Piast Gliwice,Górnik Zabrze,2:0
24/25,33,Pogoń Szczecin,Lechia Gdańsk,3:3
24/25,33,Stal Mielec,Radomiak Radom,2:2
24/25,33,Śląsk Wrocław,Jagiellonia Białystok,1:1
24/25,33,Widzew Łódź,Puszcza Niepołomice,2:0
24/25,34,Górnik Zabrze,Korona Kielce,1:1
24/25,34,Jagiellonia Białystok,Pogoń Szczecin,1:1
24/25,34,Lech Poznań,Piast Gliwice,1:0
24/25,34,Lechia Gdańsk,GKS Katowice,2:3
24/25,34,Legia Warszawa,Stal Mielec,2:2
24/25,34,Puszcza Niepołomice,Śląsk Wrocław,1:1
24/25,34,Radomiak Radom,Motor Lublin,2:3
24/25,34,Raków Częstochowa,Widzew Łódź,2:1
24/25,34,Zagłębie Lubin,Cracovia Kraków,1:2
