sezon,kolejka,gospodarz,gosc,wynik
24/25,1,Cracovia Kraków,Piast Gliwice,1:1
24/25,1,GKS Katowice,Radomiak Radom,1:2
24/25,1,Jagiellonia Białystok,Puszcza Niepołomice,2:0
24/25,1,Lech Poznań,Górnik Zabrze,2:0
24/25,1,Legia Warszawa,Zagłębie Lubin,2:0
24/25,1,Motor Lublin,Raków Częstochowa,0:2
24/25,1,Pogoń Szczecin,Korona Kielce,3:0
24/25,1,Stal Mielec,Widzew Łódź,1:1
24/25,1,Śląsk Wrocław,Lechia Gdańsk,1:1
24/25,2,Korona Kielce,Legia Warszawa,0:1
24/25,2,Lechia Gdańsk,Motor Lublin,0:2
24/25,2,Piast Gliwice,Śląsk Wrocław,2:0
24/25,2,Puszcza Niepołomice,Górnik Zabrze,2:2
24/25,2,Radomiak Radom,Jagiellonia Białystok,2:3
24/25,2,Raków Częstochowa,Cracovia Kraków,0:1
24/25,2,Stal Mielec,GKS Katowice,0:1
24/25,2,Widzew Łódź,Lech Poznań,2:1
24/25,2,Zagłębie Lubin,Pogoń Szczecin,2:2
24/25,3,Cracovia Kraków,Widzew Łódź,1:3
24/25,3,GKS Katowice,Raków Częstochowa,0:1
24/25,3,Górnik Zabrze,Pogoń Szczecin,1:0
24/25,3,Jagiellonia Białystok,Stal Mielec,2:0
24/25,3,Lech Poznań,Lechia Gdańsk,3:1
24/25,3,Legia Warszawa,Piast Gliwice,1:2
24/25,3,Motor Lublin,Korona Kielce,1:1
24/25,3,Śląsk Wrocław,Radomiak Radom,1:2
24/25,3,Zagłębie Lubin,Puszcza Niepołomice,1:0
24/25,4,Korona Kielce,Cracovia Kraków,0:2
24/25,4,Lechia Gdańsk,Zagłębie Lubin,1:1
24/25,4,Motor Lublin,Jagiellonia Białystok,0:2
24/25,4,Piast Gliwice,GKS Katowice,2:2
24/25,4,Pogoń Szczecin,Stal Mielec,1:0
24/25,4,Puszcza Niepołomice,Legia Warszawa,2:2
24/25,4,Radomiak Radom,Górnik Zabrze,1:2
24/25,4,Raków Częstochowa,Lech Poznań,0:0
24/25,4,Widzew Łódź,Śląsk Wrocław,0:0
24/25,5,GKS Katowice,Motor Lublin,0:0
24/25,5,Górnik Zabrze,Raków Częstochowa,0:0
24/25,5,Jagiellonia Białystok,Cracovia Kraków,2:4
24/25,5,Legia Warszawa,Radomiak Radom,4:1
24/25,5,Pogoń Szczecin,Widzew Łódź,2:0
24/25,5,Puszcza Niepołomice,Lechia Gdańsk,4:1
24/25,5,Stal Mielec,Piast Gliwice,2:0
24/25,5,Śląsk Wrocław,Korona Kielce,1:1
24/25,5,Zagłębie Lubin,Lech Poznań,0:1
24/25,6,Cracovia Kraków,Górnik Zabrze,3:2
24/25,6,GKS Katowice,Jagiellonia Białystok,3:1
24/25,6,Korona Kielce,Stal Mielec,2:1
24/25,6,Lech Poznań,Pogoń Szczecin,2:0
24/25,6,Lechia Gdańsk,Raków Częstochowa,1:2
24/25,6,Motor Lublin,Puszcza Niepołomice,0:0
24/25,6,Piast Gliwice,Zagłębie Lubin,1:0
24/25,6,Śląsk Wrocław,Legia Warszawa,1:1
24/25,6,Widzew Łódź,Radomiak Radom,3:2
24/25,7,Górnik Zabrze,Lechia Gdańsk,2:3
24/25,7,Jagiellonia Białystok,Widzew Łódź,1:0
24/25,7,Legia Warszawa,Motor Lublin,5:2
24/25,7,Pogoń Szczecin,Śląsk Wrocław,5:3
24/25,7,Puszcza Niepołomice,Korona Kielce,0:0
24/25,7,Radomiak Radom,Cracovia Kraków,2:1
24/25,7,Raków Częstochowa,Piast Gliwice,0:1
24/25,7,Stal Mielec,Lech Poznań,0:2
24/25,7,Zagłębie Lubin,GKS Katowice,1:0
24/25,8,Cracovia Kraków,Pogoń Szczecin,2:1
24/25,8,GKS Katowice,Widzew Łódź,2:2
24/25,8,Korona Kielce,Zagłębie Lubin,2:0
24/25,8,Lech Poznań,Jagiellonia Białystok,5:0
24/25,8,Lechia Gdańsk,Radomiak Radom,1:0
24/25,8,Legia Warszawa,Raków Częstochowa,0:1
24/25,8,Motor Lublin,Górnik Zabrze,1:0
24/25,8,Piast Gliwice,Puszcza Niepołomice,1:1
24/25,8,Śląsk Wrocław,Stal Mielec,2:1
24/25,9,Górnik Zabrze,GKS Katowice,3:0
24/25,9,Jagiellonia Białystok,Lechia Gdańsk,3:2
24/25,9,Lech Poznań,Śląsk Wrocław,1:0
24/25,9,Pogoń Szczecin,Legia Warszawa,1:0
24/25,9,Puszcza Niepołomice,Cracovia Kraków,1:2
24/25,9,Radomiak Radom,Korona Kielce,4:0
24/25,9,Raków Częstochowa,Zagłębie Lubin,5:1
24/25,9,Stal Mielec,Motor Lublin,1:0
24/25,9,Widzew Łódź,Piast Gliwice,1:0
24/25,10,Cracovia Kraków,Stal Mielec,1:1
24/25,10,GKS Katowice,Pogoń Szczecin,3:1
24/25,10,Korona Kielce,Lech Poznań,2:3
24/25,10,Lechia Gdańsk,Widzew Łódź,1:1
24/25,10,Legia Warszawa,Górnik Zabrze,1:1
24/25,10,Motor Lublin,Śląsk Wrocław,2:1
24/25,10,Piast Gliwice,Jagiellonia Białystok,0:1
24/25,10,Raków Częstochowa,Puszcza Niepołomice,2:0
24/25,10,Zagłębie Lubin,Radomiak Radom,1:0
24/25,11,Górnik Zabrze,Zagłębie Lubin,0:1
24/25,11,Jagiellonia Białystok,Legia Warszawa,1:1
24/25,11,Lech Poznań,Motor Lublin,1:2
24/25,11,Pogoń Szczecin,Piast Gliwice,1:0
24/25,11,Puszcza Niepołomice,GKS Katowice,0:6
24/25,11,Radomiak Radom,Raków Częstochowa,0:2
24/25,11,Stal Mielec,Lechia Gdańsk,2:1
24/25,11,Śląsk Wrocław,Cracovia Kraków,2:4
24/25,11,Widzew Łódź,Korona Kielce,0:1
24/25,12,Cracovia Kraków,Lech Poznań,0:2
24/25,12,GKS Katowice,Śląsk Wrocław,0:0
24/25,12,Górnik Zabrze,Stal Mielec,3:1
24/25,12,Korona Kielce,Piast Gliwice,0:2
24/25,12,Lechia Gdańsk,Legia Warszawa,0:2
24/25,12,Motor Lublin,Widzew Łódź,3:4
24/25,12,Radomiak Radom,Puszcza Niepołomice,2:0
24/25,12,Raków Częstochowa,Pogoń Szczecin,1:0
24/25,12,Zagłębie Lubin,Jagiellonia Białystok,1:3
24/25,13,Cracovia Kraków,Motor Lublin,6:2
24/25,13,Jagiellonia Białystok,Korona Kielce,3:1
24/25,13,Lech Poznań,Radomiak Radom,2:1
24/25,13,Legia Warszawa,GKS Katowice,4:1
24/25,13,Piast Gliwice,Lechia Gdańsk,3:3
24/25,13,Pogoń Szczecin,Puszcza Niepołomice,2:1
24/25,13,Stal Mielec,Zagłębie Lubin,2:2
24/25,13,Śląsk Wrocław,Raków Częstochowa,0:0
24/25,13,Widzew Łódź,Górnik Zabrze,0:2
24/25,14,GKS Katowice,Korona Kielce,1:2
24/25,14,Górnik Zabrze,Jagiellonia Białystok,0:2
24/25,14,Lechia Gdańsk,Cracovia Kraków,1:2
24/25,14,Legia Warszawa,Widzew Łódź,2:1
24/25,14,Motor Lublin,Pogoń Szczecin,4:2
24/25,14,Puszcza Niepołomice,Lech Poznań,2:0
24/25,14,Radomiak Radom,Piast Gliwice,1:1
24/25,14,Raków Częstochowa,Stal Mielec,1:0
