sezon,kolejka,gospodarz,gosc,wynik
25/26,1,GKS Katowice,Raków Częstochowa,0:1
25/26,1,Górnik Zabrze,Lechia Gdańsk,2:1
25/26,1,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,0:4
25/26,1,Lech Poznań,Cracovia Kraków,1:4
25/26,1,Legia Warszawa,Piast Gliwice,0:1
25/26,1,Motor Lublin,Arka Gdynia,1:0
25/26,1,Radomiak Radom,Pogoń Szczecin,5:1
25/26,1,Widzew Łódź,Zagłębie Lubin,1:0
25/26,1,Wisła Płock,Korona Kielce,2:0
25/26,2,Arka Gdynia,Radomiak Radom,1:1
25/26,2,Cracovia Kraków,Bruk-Bet Termalica Nieciecza,2:0
25/26,2,GKS Katowice,Zagłębie Lubin,2:2
25/26,2,Jagiellonia Białystok,Widzew Łódź,3:2
25/26,2,Korona Kielce,Legia Warszawa,0:2
25/26,2,Lechia Gdańsk,Lech Poznań,3:4
25/26,2,Piast Gliwice,Górnik Zabrze,0:1
25/26,2,Pogoń Szczecin,Motor Lublin,4:1
25/26,2,Raków Częstochowa,Wisła Płock,1:2
25/26,3,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,1:1
25/26,3,Cracovia Kraków,Lechia Gdańsk,2:2
25/26,3,Lech Poznań,Górnik Zabrze,2:1
25/26,3,Legia Warszawa,Arka Gdynia,0:0
25/26,3,Motor Lublin,Jagiellonia Białystok,1:1
25/26,3,Radomiak Radom,Raków Częstochowa,3:1
25/26,3,Widzew Łódź,GKS Katowice,3:0
25/26,3,Wisła Płock,Piast Gliwice,2:0
25/26,3,Zagłębie Lubin,Korona Kielce,1:1
25/26,4,Arka Gdynia,Pogoń Szczecin,2:1
25/26,4,Górnik Zabrze,Bruk-Bet Termalica Nieciecza,0:1
25/26,4,Jagiellonia Białystok,Cracovia Kraków,5:2
25/26,4,Korona Kielce,Radomiak Radom,3:0
25/26,4,Lechia Gdańsk,Motor Lublin,3:3
25/26,4,Legia Warszawa,GKS Katowice,3:1
25/26,4,Piast Gliwice,Lech Poznań,1:0
25/26,4,Raków Częstochowa,Zagłębie Lubin,0:1
25/26,4,Widzew Łódź,Wisła Płock,1:1
25/26,5,Bruk-Bet Termalica Nieciecza,Raków Częstochowa,2:3
25/26,5,Cracovia Kraków,Widzew Łódź,1:0
25/26,5,GKS Katowice,Arka Gdynia,4:1
25/26,5,Lech Poznań,Korona Kielce,1:1
25/26,5,Motor Lublin,Piast Gliwice,0:0
25/26,5,Pogoń Szczecin,Górnik Zabrze,0:3
25/26,5,Radomiak Radom,Jagiellonia Białystok,1:2
25/26,5,Wisła Płock,Legia Warszawa,1:0
25/26,5,Zagłębie Lubin,Lechia Gdańsk,6:2
25/26,6,Górnik Zabrze,GKS Katowice,3:0
25/26,6,Korona Kielce,Motor Lublin,2:0
25/26,6,Lechia Gdańsk,Arka Gdynia,1:0
25/26,6,Legia Warszawa,Jagiellonia Białystok,0:0
25/26,6,Piast Gliwice,Cracovia Kraków,0:0
25/26,6,Radomiak Radom,Bruk-Bet Termalica Nieciecza,1:1
25/26,6,Raków Częstochowa,Lech Poznań,2:2
25/26,6,Widzew Łódź,Pogoń Szczecin,1:2
25/26,6,Wisła Płock,Zagłębie Lubin,2:1
25/26,7,Arka Gdynia,Wisła Płock,1:0
25/26,7,Bruk-Bet Termalica Nieciecza,Korona Kielce,1:3
25/26,7,Cracovia Kraków,Legia Warszawa,2:1
25/26,7,GKS Katowice,Radomiak Radom,3:2
25/26,7,Górnik Zabrze,Motor Lublin,0:1
25/26,7,Jagiellonia Białystok,Lechia Gdańsk,2:0
25/26,7,Lech Poznań,Widzew Łódź,2:1
25/26,7,Pogoń Szczecin,Raków Częstochowa,2:0
25/26,7,Zagłębie Lubin,Piast Gliwice,2:2
25/26,8,Korona Kielce,Pogoń Szczecin,1:0
25/26,8,Lech Poznań,Zagłębie Lubin,1:2
25/26,8,Lechia Gdańsk,GKS Katowice,2:0
25/26,8,Legia Warszawa,Radomiak Radom,4:1
25/26,8,Motor Lublin,Bruk-Bet Termalica Nieciecza,1:1
25/26,8,Piast Gliwice,Jagiellonia Białystok,1:1
25/26,8,Raków Częstochowa,Górnik Zabrze,0:1
25/26,8,Widzew Łódź,Arka Gdynia,2:0
25/26,8,Wisła Płock,Cracovia Kraków,0:0
25/26,9,Arka Gdynia,Korona Kielce,0:0
25/26,9,Bruk-Bet Termalica Nieciecza,Lech Poznań,0:2
25/26,9,GKS Katowice,Cracovia Kraków,0:3
25/26,9,Górnik Zabrze,Widzew Łódź,3:2
25/26,9,Wisła Płock,Jagiellonia Białystok,0:1
25/26,9,Pogoń Szczecin,Lechia Gdańsk,3:4
25/26,9,Radomiak Radom,Piast Gliwice,1:0
25/26,9,Raków Częstochowa,Legia Warszawa,1:1
25/26,9,Zagłębie Lubin,Motor Lublin,2:2
25/26,10,Cracovia Kraków,Górnik Zabrze,1:1
25/26,10,Korona Kielce,Lechia Gdańsk,3:0
25/26,10,Lech Poznań,Jagiellonia Białystok,2:2
25/26,10,Legia Warszawa,Pogoń Szczecin,1:0
25/26,10,Motor Lublin,Radomiak Radom,2:2
25/26,10,Piast Gliwice,Bruk-Bet Termalica Nieciecza,4:2
25/26,10,Widzew Łódź,Raków Częstochowa,0:1
25/26,10,Wisła Płock,GKS Katowice,1:1
25/26,10,Zagłębie Lubin,Arka Gdynia,4:0
25/26,11,Arka Gdynia,Cracovia Kraków,2:1
25/26,11,Bruk-Bet Termalica Nieciecza,Widzew Łódź,2:4
25/26,11,GKS Katowice,Lech Poznań,0:1
25/26,11,Górnik Zabrze,Legia Warszawa,3:1
25/26,11,Jagiellonia Białystok,Korona Kielce,3:1
25/26,11,Lechia Gdańsk,Wisła Płock,1:1
25/26,11,Pogoń Szczecin,Piast Gliwice,2:1
25/26,11,Radomiak Radom,Zagłębie Lubin,3:1
25/26,11,Raków Częstochowa,Motor Lublin,2:0
25/26,12,Cracovia Kraków,Raków Częstochowa,2:0
25/26,12,Jagiellonia Białystok,Arka Gdynia,4:0
25/26,12,Korona Kielce,Górnik Zabrze,1:1
25/26,12,Lech Poznań,Pogoń Szczecin,2:2
25/26,12,Motor Lublin,GKS Katowice,2:5
25/26,12,Piast Gliwice,Lechia Gdańsk,1:2
25/26,12,Widzew Łódź,Radomiak Radom,3:2
25/26,12,Wisła Płock,Bruk-Bet Termalica Nieciecza,3:1
25/26,12,Zagłębie Lubin,Legia Warszawa,3:1
25/26,13,Arka Gdynia,Piast Gliwice,2:1
25/26,13,Bruk-Bet Termalica Nieciecza,Zagłębie Lubin,1:1
25/26,13,GKS Katowice,Korona Kielce,1:0
25/26,13,Górnik Zabrze,Jagiellonia Białystok,2:1
25/26,13,Legia Warszawa,Lech Poznań,0:0
25/26,13,Motor Lublin,Widzew Łódź,3:0
25/26,13,Pogoń Szczecin,Cracovia Kraków,2:1
25/26,13,Radomiak Radom,Wisła Płock,1:1
25/26,13,Raków Częstochowa,Lechia Gdańsk,2:1
25/26,14,Bruk-Bet Termalica Nieciecza,GKS Katowice,0:3
25/26,14,Cracovia Kraków,Zagłębie Lubin,0:0
25/26,14,Górnik Zabrze,Arka Gdynia,5:1
25/26,14,Jagiellonia Białystok,Raków Częstochowa,1:2
25/26,14,Lech Poznań,Motor Lublin,2:2
25/26,14,Lechia Gdańsk,Radomiak Radom,1:2
25/26,14,Piast Gliwice,Korona Kielce,0:0
25/26,14,Widzew Łódź,Legia Warszawa,1:1
25/26,14,Wisła Płock,Pogoń Szczecin,2:0
25/26,15,Arka Gdynia,Lech Poznań,3:1
25/26,15,GKS Katowice,Piast Gliwice,1:3
25/26,15,Korona Kielce,Raków Częstochowa,1:4
25/26,15,Lechia Gdańsk,Widzew Łódź,2:1
25/26,15,Legia Warszawa,Bruk-Bet Termalica Nieciecza,1:2
25/26,15,Motor Lublin,Wisła Płock,1:1
25/26,15,Pogoń Szczecin,Jagiellonia Białystok,1:2
25/26,15,Radomiak Radom,Cracovia Kraków,3:0
25/26,15,Zagłębie Lubin,Górnik Zabrze,2:0
25/26,16,Bruk-Bet Termalica Nieciecza,Arka Gdynia,2:0
25/26,16,Cracovia Kraków,Motor Lublin,1:2
25/26,16,Górnik Zabrze,Wisła Płock,1:1
25/26,16,Jagiellonia Białystok,GKS Katowice,2:1
25/26,16,Lech Poznań,Radomiak Radom,4:1
25/26,16,Legia Warszawa,Lechia Gdańsk,2:2
25/26,16,Pogoń Szczecin,Zagłębie Lubin,5:1
25/26,16,Raków Częstochowa,Piast Gliwice,1:3
25/26,16,Widzew Łódź,Korona Kielce,1:3
