sezon,kolejka,gospodarz,gosc,wynik
25/26,17,Arka Gdynia,Raków Częstochowa,1:4
25/26,17,GKS Katowice,Pogoń Szczecin,2:0
25/26,17,Korona Kielce,Cracovia Kraków,0:1
25/26,17,Lechia Gdańsk,Bruk-Bet Termalica Nieciecza,5:1
25/26,17,Motor Lublin,Legia Warszawa,1:1
25/26,17,Piast Gliwice,Widzew Łódź,0:2
25/26,17,Radomiak Radom,Górnik Zabrze,4:0
25/26,17,Wisła Płock,Lech Poznań,0:0
25/26,17,Zagłębie Lubin,Jagiellonia Białystok,0:0
25/26,18,Arka Gdynia,Motor Lublin,1:0
25/26,18,Bruk-Bet Termalica Nieciecza,Jagiellonia Białystok,2:1
25/26,18,Cracovia Kraków,Lech Poznań,2:2
25/26,18,Korona Kielce,Wisła Płock,1:1
25/26,18,Lechia Gdańsk,Górnik Zabrze,5:2
25/26,18,Piast Gliwice,Legia Warszawa,2:0
25/26,18,Pogoń Szczecin,Radomiak Radom,2:2
25/26,18,Raków Częstochowa,GKS Katowice,1:0
25/26,18,Zagłębie Lubin,Widzew Łódź,2:1
25/26,19,Bruk-Bet Termalica Nieciecza,Cracovia Kraków,0:1
25/26,19,Górnik Zabrze,Piast Gliwice,2:1
25/26,19,Lech Poznań,Lechia Gdańsk,1:3
25/26,19,Legia Warszawa,Korona Kielce,1:2
25/26,19,Motor Lublin,Pogoń Szczecin,2:1
25/26,19,Radomiak Radom,Arka Gdynia,3:1
25/26,19,Widzew Łódź,Jagiellonia Białystok,1:3
25/26,19,Wisła Płock,Raków Częstochowa,2:1
25/26,19,Zagłębie Lubin,GKS Katowice,0:2
25/26,20,Arka Gdynia,Legia Warszawa,2:2
25/26,20,GKS Katowice,Widzew Łódź,1:0
25/26,20,Górnik Zabrze,Lech Poznań,0:1
25/26,20,Jagiellonia Białystok,Motor Lublin,4:1
25/26,20,Korona Kielce,Zagłębie Lubin,1:2
25/26,20,Lechia Gdańsk,Cracovia Kraków,1:1
25/26,20,Piast Gliwice,Wisła Płock,1:0
25/26,20,Pogoń Szczecin,Bruk-Bet Termalica Nieciecza,1:1
25/26,20,Raków Częstochowa,Radomiak Radom,0:0
25/26,21,Bruk-Bet Termalica Nieciecza,Górnik Zabrze,1:1
25/26,21,Cracovia Kraków,Jagiellonia Białystok,0:0
25/26,21,GKS Katowice,Legia Warszawa,1:1
25/26,21,Lech Poznań,Piast Gliwice,3:0
25/26,21,Motor Lublin,Lechia Gdańsk,2:3
25/26,21,Pogoń Szczecin,Arka Gdynia,1:0
25/26,21,Radomiak Radom,Korona Kielce,0:2
25/26,21,Wisła Płock,Widzew Łódź,0:2
25/26,21,Zagłębie Lubin,Raków Częstochowa,0:0
25/26,22,Arka Gdynia,GKS Katowice,2:1
25/26,22,Górnik Zabrze,Pogoń Szczecin,0:1
25/26,22,Jagiellonia Białystok,Radomiak Radom,1:1
25/26,22,Korona Kielce,Lech Poznań,1:2
25/26,22,Lechia Gdańsk,Zagłębie Lubin,0:2
25/26,22,Legia Warszawa,Wisła Płock,2:1
25/26,22,Piast Gliwice,Motor Lublin,1:2
25/26,22,Raków Częstochowa,Bruk-Bet Termalica Nieciecza,1:0
25/26,22,Widzew Łódź,Cracovia Kraków,0:0
25/26,23,Arka Gdynia,Lechia Gdańsk,2:2
25/26,23,Bruk-Bet Termalica Nieciecza,Radomiak Radom,1:1
25/26,23,Cracovia Kraków,Piast Gliwice,2:3
25/26,23,GKS Katowice,Górnik Zabrze,3:1
25/26,23,Jagiellonia Białystok,Legia Warszawa,2:2
25/26,23,Lech Poznań,Raków Częstochowa,4:3
25/26,23,Motor Lublin,Korona Kielce,2:0
25/26,23,Pogoń Szczecin,Widzew Łódź,1:0
25/26,23,Zagłębie Lubin,Wisła Płock,2:0
25/26,24,Korona Kielce,Bruk-Bet Termalica Nieciecza,2:1
25/26,24,Lechia Gdańsk,Jagiellonia Białystok,3:0
25/26,24,Legia Warszawa,Cracovia Kraków,1:0
25/26,24,Motor Lublin,Górnik Zabrze,0:0
25/26,24,Piast Gliwice,Zagłębie Lubin,1:3
25/26,24,Radomiak Radom,GKS Katowice,0:1
25/26,24,Raków Częstochowa,Pogoń Szczecin,2:0
25/26,24,Widzew Łódź,Lech Poznań,2:1
25/26,24,Wisła Płock,Arka Gdynia,0:3
25/26,25,Arka Gdynia,Widzew Łódź,0:0
25/26,25,Bruk-Bet Termalica Nieciecza,Motor Lublin,1:2
25/26,25,Cracovia Kraków,Wisła Płock,1:2
25/26,25,GKS Katowice,Lechia Gdańsk,2:0
25/26,25,Górnik Zabrze,Raków Częstochowa,3:1
25/26,25,Jagiellonia Białystok,Piast Gliwice,1:2
25/26,25,Pogoń Szczecin,Korona Kielce,2:1
25/26,25,Radomiak Radom,Legia Warszawa,1:1
25/26,25,Zagłębie Lubin,Lech Poznań,0:1
25/26,26,Cracovia Kraków,GKS Katowice,1:0
25/26,26,Korona Kielce,Arka Gdynia,3:0
25/26,26,Lech Poznań,Bruk-Bet Termalica Nieciecza,4:1
25/26,26,Lechia Gdańsk,Pogoń Szczecin,2:1
25/26,26,Legia Warszawa,Raków Częstochowa,1:1
25/26,26,Motor Lublin,Zagłębie Lubin,1:0
25/26,26,Piast Gliwice,Radomiak Radom,3:1
25/26,26,Widzew Łódź,Górnik Zabrze,0:0
25/26,26,Jagiellonia Białystok,Wisła Płock,1:2
25/26,27,Arka Gdynia,Zagłębie Lubin,3:1
25/26,27,Bruk-Bet Termalica Nieciecza,Piast Gliwice,3:2
25/26,27,GKS Katowice,Wisła Płock,1:0
25/26,27,Górnik Zabrze,Cracovia Kraków,3:0
25/26,27,Jagiellonia Białystok,Lech Poznań,0:0
25/26,27,Lechia Gdańsk,Korona Kielce,4:2
25/26,27,Pogoń Szczecin,Legia Warszawa,0:2
25/26,27,Radomiak Radom,Motor Lublin,1:1
25/26,27,Raków Częstochowa,Widzew Łódź,1:1
25/26,28,Cracovia Kraków,Arka Gdynia,2:2
25/26,28,Korona Kielce,Jagiellonia Białystok,1:1
25/26,28,Lech Poznań,GKS Katowice,3:3
25/26,28,Legia Warszawa,Górnik Zabrze,1:1
25/26,28,Motor Lublin,Raków Częstochowa,1:1
25/26,28,Piast Gliwice,Pogoń Szczecin,0:2
25/26,28,Widzew Łódź,Bruk-Bet Termalica Nieciecza,1:0
25/26,28,Wisła Płock,Lechia Gdańsk,1:0
25/26,28,Zagłębie Lubin,Radomiak Radom,1:0
25/26,29,Arka Gdynia,Jagiellonia Białystok,0:3
25/26,29,Bruk-Bet Termalica Nieciecza,Wisła Płock,1:3
25/26,29,GKS Katowice,Motor Lublin,3:2
25/26,29,Górnik Zabrze,Korona Kielce,1:0
25/26,29,Lechia Gdańsk,Piast Gliwice,1:1
25/26,29,Legia Warszawa,Zagłębie Lubin,1:0
25/26,29,Pogoń Szczecin,Lech Poznań,1:2
25/26,29,Radomiak Radom,Widzew Łódź,2:1
25/26,29,Raków Częstochowa,Cracovia Kraków,4:1
25/26,30,Cracovia Kraków,Pogoń Szczecin,1:1
25/26,30,Jagiellonia Białystok,Górnik Zabrze,1:2
25/26,30,Korona Kielce,GKS Katowice,1:1
25/26,30,Lech Poznań,Legia Warszawa,4:0
25/26,30,Lechia Gdańsk,Raków Częstochowa,1:2
25/26,30,Piast Gliwice,Arka Gdynia,4:1
25/26,30,Widzew Łódź,Motor Lublin,2:0
25/26,30,Wisła Płock,Radomiak Radom,0:1
25/26,30,Zagłębie Lubin,Bruk-Bet Termalica Nieciecza,1:2
25/26,31,Arka Gdynia,Górnik Zabrze,0:0
25/26,31,GKS Katowice,Bruk-Bet Termalica Nieciecza,5:1
25/26,31,Korona Kielce,Piast Gliwice,1:1
25/26,31,Legia Warszawa,Widzew Łódź,1:0
25/26,31,Motor Lublin,Lech Poznań,0:1
25/26,31,Pogoń Szczecin,Wisła Płock,3:0
25/26,31,Radomiak Radom,Lechia Gdańsk,3:1
25/26,31,Raków Częstochowa,Jagiellonia Białystok,0:2
25/26,31,Zagłębie Lubin,Cracovia Kraków,0:0
25/26,32,Bruk-Bet Termalica Nieciecza,Legia Warszawa,0:1
25/26,32,Cracovia Kraków,Radomiak Radom,0:0
25/26,32,Górnik Zabrze,Zagłębie Lubin,0:2
25/26,32,Jagiellonia Białystok,Pogoń Szczecin,3:2
25/26,32,Lech Poznań,Arka Gdynia,1:1
25/26,32,Piast Gliwice,GKS Katowice,0:0
25/26,32,Raków Częstochowa,Korona Kielce,2:0
25/26,32,Widzew Łódź,Lechia Gdańsk,3:1
25/26,32,Wisła Płock,Motor Lublin,0:4
25/26,33,Arka Gdynia,Bruk-Bet Termalica Nieciecza,2:3
25/26,33,GKS Katowice,Jagiellonia Białystok,2:2
25/26,33,Korona Kielce,Widzew Łódź,1:0
25/26,33,Lechia Gdańsk,Legia Warszawa,1:2
25/26,33,Motor Lublin,Cracovia Kraków,3:3
25/26,33,Piast Gliwice,Raków Częstochowa,1:3
25/26,33,Radomiak Radom,Lech Poznań,1:3
25/26,33,Wisła Płock,Górnik Zabrze,0:1
25/26,33,Zagłębie Lubin,Pogoń Szczecin,0:1
25/26,34,Bruk-Bet Termalica Nieciecza,Lechia Gdańsk,3:2
25/26,34,Cracovia Kraków,Korona Kielce,1:1
25/26,34,Górnik Zabrze,Radomiak Radom,6:2
25/26,34,Jagiellonia Białystok,Zagłębie Lubin,1:0
25/26,34,Lech Poznań,Wisła Płock,2:2
25/26,34,Legia Warszawa,Motor Lublin,4:0
25/26,34,Pogoń Szczecin,GKS Katowice,1:1
25/26,34,Raków Częstochowa,Arka Gdynia,3:0
25/26,34,Widzew Łódź,Piast Gliwice,2:1
