sezon,kolejka,gospodarz,gosc,wynik
23/24,1,Górnik Zabrze,Radomiak Radom,0:2
23/24,1,Korona Kielce,Śląsk Wrocław,1:1
23/24,1,Legia Warszawa,ŁKS Łódź,3:0
23/24,1,Piast Gliwice,Lech Poznań,1:2
23/24,1,Raków Częstochowa,Jagiellonia Białystok,3:0
23/24,1,Stal Mielec,Cracovia Kraków,2:2
23/24,1,Warta Poznań,Pogoń Szczecin,0:1
23/24,1,Widzew Łódź,Puszcza Niepołomice,3:2
23/24,1,Zagłębie Lubin,Ruch Chorzów,2:1
23/24,2,Cracovia Kraków,Legia Warszawa,2:0
23/24,2,Jagiellonia Białystok,Puszcza Niepołomice,4:1
23/24,2,Korona Kielce,Raków Częstochowa,0:2
23/24,2,Lech Poznań,Radomiak Radom,2:0
23/24,2,Pogoń Szczecin,Widzew Łódź,2:1
23/24,2,Ruch Chorzów,ŁKS Łódź,2:0
23/24,2,Stal Mielec,Piast Gliwice,0:0
23/24,2,Śląsk Wrocław,Zagłębie Lubin,1:2
23/24,2,Warta Poznań,Górnik Zabrze,2:0
23/24,3,Górnik Zabrze,Piast Gliwice,0:0
23/24,3,Jagiellonia Białystok,Widzew Łódź,2:1
23/24,3,Legia Warszawa,Ruch Chorzów,3:0
23/24,3,ŁKS Łódź,Korona Kielce,2:1
23/24,3,Puszcza Niepołomice,Stal Mielec,1:0
23/24,3,Radomiak Radom,Cracovia Kraków,0:1
23/24,3,Raków Częstochowa,Warta Poznań,2:2
23/24,3,Pogoń Szczecin,Śląsk Wrocław,0:2
23/24,3,Zagłębie Lubin,Lech Poznań,1:1
23/24,4,Cracovia Kraków,Zagłębie Lubin,2:1
23/24,4,Korona Kielce,Górnik Zabrze,0:1
23/24,4,Lech Poznań,Jagiellonia Białystok,3:3
23/24,4,Piast Gliwice,Raków Częstochowa,2:1
23/24,4,Pogoń Szczecin,Radomiak Radom,0:2
23/24,4,Puszcza Niepołomice,Legia Warszawa,1:1
23/24,4,Stal Mielec,Śląsk Wrocław,3:1
23/24,4,Warta Poznań,Ruch Chorzów,2:2
23/24,4,Widzew Łódź,ŁKS Łódź,1:0
23/24,5,Cracovia Kraków,Piast Gliwice,1:1
23/24,5,Górnik Zabrze,Widzew Łódź,1:1
23/24,5,Legia Warszawa,Korona Kielce,1:0
23/24,5,ŁKS Łódź,Pogoń Szczecin,1:0
23/24,5,Radomiak Radom,Warta Poznań,3:2
23/24,5,Raków Częstochowa,Stal Mielec,2:0
23/24,5,Ruch Chorzów,Jagiellonia Białystok,0:1
23/24,5,Śląsk Wrocław,Lech Poznań,3:1
23/24,5,Zagłębie Lubin,Puszcza Niepołomice,1:0
23/24,6,Jagiellonia Białystok,Górnik Zabrze,4:1
23/24,6,Korona Kielce,Zagłębie Lubin,2:0
23/24,6,Lech Poznań,Raków Częstochowa,4:1
23/24,6,Piast Gliwice,Ruch Chorzów,0:0
23/24,6,Pogoń Szczecin,Legia Warszawa,3:4
23/24,6,Puszcza Niepołomice,ŁKS Łódź,2:1
23/24,6,Stal Mielec,Radomiak Radom,2:0
23/24,6,Warta Poznań,Cracovia Kraków,0:0
23/24,6,Widzew Łódź,Śląsk Wrocław,0:2
23/24,7,Cracovia Kraków,Korona Kielce,0:0
23/24,7,Lech Poznań,Górnik Zabrze,1:1
23/24,7,Legia Warszawa,Widzew Łódź,3:1
23/24,7,ŁKS Łódź,Warta Poznań,0:2
23/24,7,Radomiak Radom,Piast Gliwice,1:1
23/24,7,Raków Częstochowa,Puszcza Niepołomice,2:0
23/24,7,Ruch Chorzów,Stal Mielec,1:1
23/24,7,Śląsk Wrocław,Jagiellonia Białystok,2:1
23/24,7,Zagłębie Lubin,Pogoń Szczecin,1:0
23/24,8,Górnik Zabrze,Ruch Chorzów,1:0
23/24,8,Jagiellonia Białystok,Radomiak Radom,3:2
23/24,8,Piast Gliwice,Legia Warszawa,1:1
23/24,8,Pogoń Szczecin,Korona Kielce,3:1
23/24,8,Puszcza Niepołomice,Śląsk Wrocław,1:3
23/24,8,Raków Częstochowa,ŁKS Łódź,1:0
23/24,8,Stal Mielec,Zagłębie Lubin,4:2
23/24,8,Warta Poznań,Lech Poznań,0:2
23/24,8,Widzew Łódź,Cracovia Kraków,2:0
23/24,9,Cracovia Kraków,Pogoń Szczecin,1:5
23/24,9,Korona Kielce,Widzew Łódź,1:1
23/24,9,Lech Poznań,Stal Mielec,2:1
23/24,9,Legia Warszawa,Górnik Zabrze,2:1
23/24,9,ŁKS Łódź,Jagiellonia Białystok,2:2
23/24,9,Radomiak Radom,Puszcza Niepołomice,1:1
23/24,9,Ruch Chorzów,Raków Częstochowa,3:5
23/24,9,Śląsk Wrocław,Piast Gliwice,1:0
23/24,9,Zagłębie Lubin,Warta Poznań,1:0
23/24,10,Górnik Zabrze,Zagłębie Lubin,0:2
23/24,10,Jagiellonia Białystok,Legia Warszawa,2:0
23/24,10,ŁKS Łódź,Cracovia Kraków,0:2
23/24,10,Piast Gliwice,Widzew Łódź,3:2
23/24,10,Pogoń Szczecin,Lech Poznań,5:0
23/24,10,Puszcza Niepołomice,Ruch Chorzów,2:2
23/24,10,Raków Częstochowa,Radomiak Radom,3:0
23/24,10,Stal Mielec,Korona Kielce,2:3
23/24,10,Warta Poznań,Śląsk Wrocław,0:1
23/24,11,Cracovia Kraków,Jagiellonia Białystok,2:4
23/24,11,Korona Kielce,Warta Poznań,1:1
23/24,11,Lech Poznań,Puszcza Niepołomice,4:1
23/24,11,Legia Warszawa,Raków Częstochowa,1:2
23/24,11,Radomiak Radom,ŁKS Łódź,3:0
23/24,11,Ruch Chorzów,Pogoń Szczecin,0:3
23/24,11,Śląsk Wrocław,Górnik Zabrze,1:1
23/24,11,Widzew Łódź,Stal Mielec,1:0
23/24,11,Zagłębie Lubin,Piast Gliwice,1:1
23/24,12,Górnik Zabrze,Raków Częstochowa,2:1
23/24,12,Jagiellonia Białystok,Zagłębie Lubin,3:0
23/24,12,Lech Poznań,ŁKS Łódź,3:1
23/24,12,Piast Gliwice,Pogoń Szczecin,0:0
23/24,12,Puszcza Niepołomice,Cracovia Kraków,1:1
23/24,12,Radomiak Radom,Korona Kielce,1:1
23/24,12,Stal Mielec,Warta Poznań,0:1
23/24,12,Śląsk Wrocław,Legia Warszawa,4:0
23/24,12,Widzew Łódź,Ruch Chorzów,2:1
23/24,13,Cracovia Kraków,Lech Poznań,1:1
23/24,13,Korona Kielce,Puszcza Niepołomice,5:3
23/24,13,Legia Warszawa,Stal Mielec,1:3
23/24,13,ŁKS Łódź,Górnik Zabrze,0:5
23/24,13,Pogoń Szczecin,Jagiellonia Białystok,2:1
23/24,13,Raków Częstochowa,Widzew Łódź,1:1
23/24,13,Ruch Chorzów,Śląsk Wrocław,2:2
23/24,13,Warta Poznań,Piast Gliwice,1:1
23/24,13,Zagłębie Lubin,Radomiak Radom,2:3
23/24,14,Górnik Zabrze,Cracovia Kraków,1:0
23/24,14,Jagiellonia Białystok,Stal Mielec,4:0
23/24,14,Lech Poznań,Ruch Chorzów,2:0
23/24,14,Piast Gliwice,Korona Kielce,0:0
23/24,14,Puszcza Niepołomice,Pogoń Szczecin,0:2
23/24,14,Radomiak Radom,Legia Warszawa,0:1
23/24,14,Raków Częstochowa,Zagłębie Lubin,5:0
23/24,14,Śląsk Wrocław,ŁKS Łódź,2:1
23/24,14,Widzew Łódź,Warta Poznań,0:1
23/24,15,Cracovia Kraków,Śląsk Wrocław,0:1
23/24,15,Korona Kielce,Jagiellonia Białystok,2:2
23/24,15,Legia Warszawa,Lech Poznań,0:0
23/24,15,ŁKS Łódź,Piast Gliwice,3:3
23/24,15,Pogoń Szczecin,Raków Częstochowa,1:1
23/24,15,Ruch Chorzów,Radomiak Radom,0:0
23/24,15,Stal Mielec,Górnik Zabrze,2:1
23/24,15,Warta Poznań,Puszcza Niepołomice,0:2
23/24,15,Zagłębie Lubin,Widzew Łódź,1:1
23/24,16,Jagiellonia Białystok,Piast Gliwice,0:0
23/24,16,Lech Poznań,Widzew Łódź,1:3
23/24,16,Legia Warszawa,Warta Poznań,2:2
23/24,16,ŁKS Łódź,Zagłębie Lubin,0:2
23/24,16,Pogoń Szczecin,Stal Mielec,2:3
23/24,16,Puszcza Niepołomice,Górnik Zabrze,2:1
23/24,16,Radomiak Radom,Śląsk Wrocław,0:1
23/24,16,Raków Częstochowa,Cracovia Kraków,1:1
23/24,16,Ruch Chorzów,Korona Kielce,1:1
23/24,17,Cracovia Kraków,Ruch Chorzów,4:4
23/24,17,Górnik Zabrze,Pogoń Szczecin,1:0
23/24,17,Korona Kielce,Lech Poznań,0:1
23/24,17,Piast Gliwice,Puszcza Niepołomice,1:0
23/24,17,Stal Mielec,ŁKS Łódź,1:0
23/24,17,Śląsk Wrocław,Raków Częstochowa,1:1
23/24,17,Warta Poznań,Jagiellonia Białystok,1:2
23/24,17,Widzew Łódź,Radomiak Radom,0:3
23/24,17,Zagłębie Lubin,Legia Warszawa,0:3
23/24,18,Cracovia Kraków,Stal Mielec,2:2
23/24,18,Jagiellonia Białystok,Raków Częstochowa,4:2
23/24,18,Lech Poznań,Piast Gliwice,0:1
23/24,18,ŁKS Łódź,Legia Warszawa,1:1
23/24,18,Pogoń Szczecin,Warta Poznań,3:3
23/24,18,Puszcza Niepołomice,Widzew Łódź,1:0
23/24,18,Radomiak Radom,Górnik Zabrze,1:1
23/24,18,Ruch Chorzów,Zagłębie Lubin,2:2
23/24,18,Śląsk Wrocław,Korona Kielce,0:0
23/24,19,Górnik Zabrze,Warta Poznań,3:0
23/24,19,Legia Warszawa,Cracovia Kraków,2:0
23/24,19,ŁKS Łódź,Ruch Chorzów,1:1
23/24,19,Piast Gliwice,Stal Mielec,3:0
23/24,19,Puszcza Niepołomice,Jagiellonia Białystok,3:3
23/24,19,Radomiak Radom,Lech Poznań,2:2
23/24,19,Raków Częstochowa,Korona Kielce,1:0
23/24,19,Widzew Łódź,Pogoń Szczecin,1:2
23/24,19,Zagłębie Lubin,Śląsk Wrocław,1:2
23/24,20,Cracovia Kraków,Radomiak Radom,6:0
23/24,20,Korona Kielce,ŁKS Łódź,2:1
23/24,20,Lech Poznań,Zagłębie Lubin,2:0
23/24,20,Piast Gliwice,Górnik Zabrze,1:3
23/24,20,Śląsk Wrocław,Pogoń Szczecin,0:1
23/24,20,Ruch Chorzów,Legia Warszawa,0:1
23/24,20,Stal Mielec,Puszcza Niepołomice,2:1
23/24,20,Warta Poznań,Raków Częstochowa,2:1
23/24,20,Widzew Łódź,Jagiellonia Białystok,1:3
23/24,21,Górnik Zabrze,Korona Kielce,3:1
23/24,21,Jagiellonia Białystok,Lech Poznań,1:2
23/24,21,Legia Warszawa,Puszcza Niepołomice,1:1
23/24,21,ŁKS Łódź,Widzew Łódź,0:2
23/24,21,Radomiak Radom,Pogoń Szczecin,0:4
23/24,21,Raków Częstochowa,Piast Gliwice,3:1
23/24,21,Ruch Chorzów,Warta Poznań,0:0
23/24,21,Śląsk Wrocław,Stal Mielec,0:1
23/24,21,Zagłębie Lubin,Cracovia Kraków,1:1
23/24,22,Jagiellonia Białystok,Ruch Chorzów,1:1
23/24,22,Korona Kielce,Legia Warszawa,3:3
23/24,22,Lech Poznań,Śląsk Wrocław,0:0
23/24,22,Piast Gliwice,Cracovia Kraków,0:0
23/24,22,Pogoń Szczecin,ŁKS Łódź,4:2
23/24,22,Puszcza Niepołomice,Zagłębie Lubin,2:2
23/24,22,Stal Mielec,Raków Częstochowa,0:0
23/24,22,Warta Poznań,Radomiak Radom,0:0
23/24,22,Widzew Łódź,Górnik Zabrze,3:1
23/24,23,Cracovia Kraków,Warta Poznań,0:1
23/24,23,Górnik Zabrze,Jagiellonia Białystok,2:1
23/24,23,Legia Warszawa,Pogoń Szczecin,1:1
23/24,23,ŁKS Łódź,Puszcza Niepołomice,3:2
23/24,23,Radomiak Radom,Stal Mielec,2:1
23/24,23,Raków Częstochowa,Lech Poznań,4:0
23/24,23,Ruch Chorzów,Piast Gliwice,3:0
23/24,23,Śląsk Wrocław,Widzew Łódź,2:1
23/24,23,Zagłębie Lubin,Korona Kielce,1:0
23/24,24,Górnik Zabrze,Lech Poznań,0:0
23/24,24,Jagiellonia Białystok,Śląsk Wrocław,3:1
23/24,24,Korona Kielce,Cracovia Kraków,1:1
23/24,24,Piast Gliwice,Radomiak Radom,2:3
23/24,24,Pogoń Szczecin,Zagłębie Lubin,0:2
23/24,24,Puszcza Niepołomice,Raków Częstochowa,1:1
23/24,24,Stal Mielec,Ruch Chorzów,3:1
23/24,24,Warta Poznań,ŁKS Łódź,0:1
23/24,24,Widzew Łódź,Legia Warszawa,1:0
23/24,25,Cracovia Kraków,Widzew Łódź,2:2
23/24,25,Korona Kielce,Pogoń Szczecin,2:2
23/24,25,Lech Poznań,Warta Poznań,2:0
23/24,25,Legia Warszawa,Piast Gliwice,3:1
23/24,25,ŁKS Łódź,Raków Częstochowa,1:1
23/24,25,Radomiak Radom,Jagiellonia Białystok,0:2
23/24,25,Ruch Chorzów,Górnik Zabrze,1:2
23/24,25,Śląsk Wrocław,Puszcza Niepołomice,0:0
23/24,25,Zagłębie Lubin,Stal Mielec,0:0
23/24,26,Górnik Zabrze,Legia Warszawa,1:3
23/24,26,Jagiellonia Białystok,ŁKS Łódź,6:0
23/24,26,Piast Gliwice,Śląsk Wrocław,2:2
23/24,26,Pogoń Szczecin,Cracovia Kraków,3:1
23/24,26,Puszcza Niepołomice,Radomiak Radom,1:1
23/24,26,Raków Częstochowa,Ruch Chorzów,1:1
23/24,26,Stal Mielec,Lech Poznań,0:0
23/24,26,Warta Poznań,Zagłębie Lubin,1:1
23/24,26,Widzew Łódź,Korona Kielce,3:1
23/24,27,Cracovia Kraków,ŁKS Łódź,2:2
23/24,27,Korona Kielce,Stal Mielec,1:0
23/24,27,Lech Poznań,Pogoń Szczecin,1:0
23/24,27,Legia Warszawa,Jagiellonia Białystok,1:1
23/24,27,Radomiak Radom,Raków Częstochowa,2:1
23/24,27,Ruch Chorzów,Puszcza Niepołomice,0:0
23/24,27,Śląsk Wrocław,Warta Poznań,2:1
23/24,27,Widzew Łódź,Piast Gliwice,1:0
23/24,27,Zagłębie Lubin,Górnik Zabrze,1:2
23/24,28,Górnik Zabrze,Śląsk Wrocław,2:0
