sezon,kolejka,gospodarz,gosc,wynik
23/24,28,Jagiellonia Białystok,Cracovia Kraków,1:3
23/24,28,ŁKS Łódź,Radomiak Radom,3:2
23/24,28,Piast Gliwice,Zagłębie Lubin,2:0
23/24,28,Pogoń Szczecin,Ruch Chorzów,5:0
23/24,28,Puszcza Niepołomice,Lech Poznań,2:1
23/24,28,Raków Częstochowa,Legia Warszawa,1:1
23/24,28,Stal Mielec,Widzew Łódź,0:0
23/24,28,Warta Poznań,Korona Kielce,1:0
23/24,29,Cracovia Kraków,Puszcza Niepołomice,0:1
23/24,29,Korona Kielce,Radomiak Radom,4:0
23/24,29,Legia Warszawa,Śląsk Wrocław,0:0
23/24,29,ŁKS Łódź,Lech Poznań,2:3
23/24,29,Pogoń Szczecin,Piast Gliwice,0:2
23/24,29,Raków Częstochowa,Górnik Zabrze,0:1
23/24,29,Ruch Chorzów,Widzew Łódź,2:3
23/24,29,Warta Poznań,Stal Mielec,5:2
23/24,29,Zagłębie Lubin,Jagiellonia Białystok,1:2
23/24,30,Górnik Zabrze,ŁKS Łódź,4:1
23/24,30,Jagiellonia Białystok,Pogoń Szczecin,2:2
23/24,30,Lech Poznań,Cracovia Kraków,0:0
23/24,30,Piast Gliwice,Warta Poznań,2:0
23/24,30,Puszcza Niepołomice,Korona Kielce,1:1
23/24,30,Radomiak Radom,Zagłębie Lubin,3:4
23/24,30,Stal Mielec,Legia Warszawa,1:3
23/24,30,Śląsk Wrocław,Ruch Chorzów,2:3
23/24,30,Widzew Łódź,Raków Częstochowa,0:1
23/24,31,Cracovia Kraków,Górnik Zabrze,5:0
23/24,31,Korona Kielce,Piast Gliwice,1:1
23/24,31,Legia Warszawa,Radomiak Radom,0:3
23/24,31,ŁKS Łódź,Śląsk Wrocław,1:2
23/24,31,Pogoń Szczecin,Puszcza Niepołomice,1:0
23/24,31,Ruch Chorzów,Lech Poznań,2:1
23/24,31,Stal Mielec,Jagiellonia Białystok,3:2
23/24,31,Warta Poznań,Widzew Łódź,2:1
23/24,31,Zagłębie Lubin,Raków Częstochowa,2:0
23/24,32,Górnik Zabrze,Stal Mielec,1:1
23/24,32,Jagiellonia Białystok,Korona Kielce,3:0
23/24,32,Lech Poznań,Legia Warszawa,1:2
23/24,32,Piast Gliwice,ŁKS Łódź,4:0
23/24,32,Puszcza Niepołomice,Warta Poznań,1:0
23/24,32,Radomiak Radom,Ruch Chorzów,0:2
23/24,32,Raków Częstochowa,Pogoń Szczecin,2:1
23/24,32,Śląsk Wrocław,Cracovia Kraków,4:0
23/24,32,Widzew Łódź,Zagłębie Lubin,1:3
23/24,33,Cracovia Kraków,Raków Częstochowa,2:0
23/24,33,Górnik Zabrze,Puszcza Niepołomice,1:1
23/24,33,Korona Kielce,Ruch Chorzów,2:0
23/24,33,Piast Gliwice,Jagiellonia Białystok,1:1
23/24,33,Stal Mielec,Pogoń Szczecin,0:0
23/24,33,Śląsk Wrocław,Radomiak Radom,2:0
23/24,33,Warta Poznań,Legia Warszawa,0:1
23/24,33,Widzew Łódź,Lech Poznań,1:1
23/24,33,Zagłębie Lubin,ŁKS Łódź,2:1
23/24,34,Jagiellonia Białystok,Warta Poznań,3:0
23/24,34,Lech Poznań,Korona Kielce,1:2
23/24,34,Legia Warszawa,Zagłębie Lubin,2:1
23/24,34,ŁKS Łódź,Stal Mielec,3:2
23/24,34,Pogoń Szczecin,Górnik Zabrze,1:0
23/24,34,Puszcza Niepołomice,Piast Gliwice,1:0
23/24,34,Radomiak Radom,Widzew Łódź,1:3
23/24,34,Raków Częstochowa,Śląsk Wrocław,1:2
23/24,34,Ruch Chorzów,Cracovia Kraków,2:0
