sezon,kolejka,gospodarz,gosc,wynik
22/23,11,Radomiak Radom,Cracovia Kraków,0:2
22/23,11,Śląsk Wrocław,Warta Poznań,0:2
22/23,11,Widzew Łódź,Raków Częstochowa,0:0
22/23,11,Wisła Płock,Piast Gliwice,1:0
22/23,12,Cracovia Kraków,Lechia Gdańsk,0:1
22/23,12,Jagiellonia Białystok,Wisła Płock,1:1
22/23,12,Lech Poznań,Radomiak Radom,1:0
22/23,12,Legia Warszawa,Warta Poznań,1:0
22/23,12,Piast Gliwice,Widzew Łódź,1:2
22/23,12,Raków Częstochowa,Miedź Legnica,1:0
22/23,12,Stal Mielec,Pogoń Szczecin,4:2
22/23,12,Śląsk Wrocław,Górnik Zabrze,4:1
22/23,12,Zagłębie Lubin,Korona Kielce,1:1
22/23,13,Górnik Zabrze,Lech Poznań,1:2
22/23,13,Korona Kielce,Stal Mielec,0:2
22/23,13,Lechia Gdańsk,Raków Częstochowa,0:3
22/23,13,Miedź Legnica,Cracovia Kraków,1:1
22/23,13,Pogoń Szczecin,Piast Gliwice,1:1
22/23,13,Radomiak Radom,Śląsk Wrocław,2:0
22/23,13,Warta Poznań,Jagiellonia Białystok,2:0
22/23,13,Widzew Łódź,Zagłębie Lubin,3:0
22/23,13,Wisła Płock,Legia Warszawa,2:1
22/23,14,Cracovia Kraków,Lech Poznań,0:0
22/23,14,Legia Warszawa,Pogoń Szczecin,1:1
22/23,14,Piast Gliwice,Radomiak Radom,1:2
22/23,14,Raków Częstochowa,Korona Kielce,1:0
22/23,14,Stal Mielec,Wisła Płock,1:1
22/23,14,Śląsk Wrocław,Jagiellonia Białystok,2:2
22/23,14,Warta Poznań,Górnik Zabrze,0:0
22/23,14,Widzew Łódź,Miedź Legnica,1:0
22/23,14,Zagłębie Lubin,Lechia Gdańsk,0:3
22/23,15,Górnik Zabrze,Widzew Łódź,3:0
22/23,15,Jagiellonia Białystok,Legia Warszawa,2:5
22/23,15,Korona Kielce,Piast Gliwice,1:1
22/23,15,Lech Poznań,Raków Częstochowa,1:2
22/23,15,Lechia Gdańsk,Stal Mielec,1:0
22/23,15,Miedź Legnica,Pogoń Szczecin,2:4
22/23,15,Radomiak Radom,Warta Poznań,2:3
22/23,15,Wisła Płock,Śląsk Wrocław,1:2
22/23,15,Zagłębie Lubin,Cracovia Kraków,0:2
22/23,16,Cracovia Kraków,Jagiellonia Białystok,1:0
22/23,16,Lech Poznań,Korona Kielce,3:2
22/23,16,Legia Warszawa,Lechia Gdańsk,2:1
22/23,16,Miedź Legnica,Śląsk Wrocław,1:0
22/23,16,Piast Gliwice,Warta Poznań,0:2
22/23,16,Pogoń Szczecin,Górnik Zabrze,1:4
22/23,16,Raków Częstochowa,Wisła Płock,7:1
22/23,16,Stal Mielec,Zagłębie Lubin,3:0
22/23,16,Widzew Łódź,Radomiak Radom,1:3
22/23,17,Górnik Zabrze,Miedź Legnica,0:3
22/23,17,Jagiellonia Białystok,Lech Poznań,1:2
22/23,17,Korona Kielce,Widzew Łódź,0:1
22/23,17,Lechia Gdańsk,Piast Gliwice,1:3
22/23,17,Radomiak Radom,Pogoń Szczecin,1:2
22/23,17,Śląsk Wrocław,Legia Warszawa,0:0
22/23,17,Warta Poznań,Stal Mielec,1:1
22/23,17,Wisła Płock,Cracovia Kraków,1:0
22/23,17,Zagłębie Lubin,Raków Częstochowa,1:2
22/23,18,Cracovia Kraków,Górnik Zabrze,2:0
22/23,18,Lechia Gdańsk,Wisła Płock,1:0
22/23,18,Legia Warszawa,Korona Kielce,3:2
22/23,18,Miedź Legnica,Radomiak Radom,0:0
22/23,18,Piast Gliwice,Jagiellonia Białystok,1:1
22/23,18,Stal Mielec,Lech Poznań,0:0
22/23,18,Śląsk Wrocław,Zagłębie Lubin,0:3
22/23,18,Warta Poznań,Raków Częstochowa,1:1
22/23,18,Widzew Łódź,Pogoń Szczecin,3:3
22/23,19,Górnik Zabrze,Lechia Gdańsk,1:1
22/23,19,Korona Kielce,Cracovia Kraków,2:1
22/23,19,Lech Poznań,Miedź Legnica,1:0
22/23,19,Pogoń Szczecin,Śląsk Wrocław,0:2
22/23,19,Radomiak Radom,Stal Mielec,1:0
22/23,19,Raków Częstochowa,Piast Gliwice,1:0
22/23,19,Widzew Łódź,Jagiellonia Białystok,1:1
22/23,19,Wisła Płock,Warta Poznań,1:0
22/23,19,Zagłębie Lubin,Legia Warszawa,1:2
22/23,20,Górnik Zabrze,Radomiak Radom,0:0
22/23,20,Jagiellonia Białystok,Pogoń Szczecin,2:0
22/23,20,Lechia Gdańsk,Widzew Łódź,0:0
22/23,20,Legia Warszawa,Cracovia Kraków,2:2
22/23,20,Stal Mielec,Raków Częstochowa,0:0
22/23,20,Śląsk Wrocław,Korona Kielce,1:1
22/23,20,Warta Poznań,Miedź Legnica,1:1
22/23,20,Wisła Płock,Lech Poznań,0:1
22/23,20,Zagłębie Lubin,Piast Gliwice,0:2
22/23,21,Cracovia Kraków,Stal Mielec,2:1
22/23,21,Korona Kielce,Lechia Gdańsk,1:0
22/23,21,Lech Poznań,Zagłębie Lubin,1:2
22/23,21,Miedź Legnica,Wisła Płock,2:1
22/23,21,Piast Gliwice,Legia Warszawa,0:1
22/23,21,Pogoń Szczecin,Warta Poznań,3:1
22/23,21,Radomiak Radom,Jagiellonia Białystok,0:0
22/23,21,Raków Częstochowa,Górnik Zabrze,2:0
22/23,21,Widzew Łódź,Śląsk Wrocław,1:0
22/23,22,Jagiellonia Białystok,Raków Częstochowa,1:2
22/23,22,Lechia Gdańsk,Radomiak Radom,1:3
22/23,22,Legia Warszawa,Widzew Łódź,2:2
22/23,22,Piast Gliwice,Cracovia Kraków,2:1
22/23,22,Stal Mielec,Górnik Zabrze,0:1
22/23,22,Śląsk Wrocław,Lech Poznań,2:1
22/23,22,Warta Poznań,Korona Kielce,5:1
22/23,22,Wisła Płock,Pogoń Szczecin,0:1
22/23,22,Zagłębie Lubin,Miedź Legnica,2:1
22/23,23,Cracovia Kraków,Śląsk Wrocław,1:1
22/23,23,Górnik Zabrze,Legia Warszawa,0:1
22/23,23,Korona Kielce,Wisła Płock,1:0
22/23,23,Lech Poznań,Lechia Gdańsk,5:0
22/23,23,Miedź Legnica,Jagiellonia Białystok,1:1
22/23,23,Pogoń Szczecin,Raków Częstochowa,0:2
22/23,23,Radomiak Radom,Zagłębie Lubin,0:1
22/23,23,Stal Mielec,Piast Gliwice,0:2
22/23,23,Widzew Łódź,Warta Poznań,0:2
22/23,24,Jagiellonia Białystok,Górnik Zabrze,2:1
22/23,24,Korona Kielce,Radomiak Radom,2:1
22/23,24,Lechia Gdańsk,Miedź Legnica,4:0
22/23,24,Legia Warszawa,Stal Mielec,2:0
22/23,24,Piast Gliwice,Lech Poznań,1:1
22/23,24,Raków Częstochowa,Śląsk Wrocław,4:1
22/23,24,Warta Poznań,Cracovia Kraków,0:0
22/23,24,Wisła Płock,Widzew Łódź,1:1
22/23,24,Zagłębie Lubin,Pogoń Szczecin,0:1
22/23,25,Górnik Zabrze,Wisła Płock,3:2
22/23,25,Jagiellonia Białystok,Zagłębie Lubin,2:2
22/23,25,Miedź Legnica,Piast Gliwice,0:1
22/23,25,Pogoń Szczecin,Korona Kielce,0:0
22/23,25,Radomiak Radom,Legia Warszawa,0:2
22/23,25,Raków Częstochowa,Cracovia Kraków,4:1
22/23,25,Śląsk Wrocław,Stal Mielec,1:1
22/23,25,Warta Poznań,Lechia Gdańsk,2:0
22/23,25,Widzew Łódź,Lech Poznań,1:2
22/23,26,Cracovia Kraków,Widzew Łódź,1:1
22/23,26,Korona Kielce,Miedź Legnica,1:0
22/23,26,Lech Poznań,Pogoń Szczecin,2:2
