sezon,kolejka,gospodarz,gosc,wynik
26/27,1,Wisła Kraków,GKS Katowice,2:1
26/27,1,Radomiak Radom,Wieczysta Kraków,2:1
26/27,1,Pogoń Szczecin,Legia Warszawa,0:1
26/27,1,Raków Częstochowa,Wisła Płock,1:2
26/27,1,Widzew Łódź,Motor Lublin,2:2
26/27,1,Jagiellonia Białystok,Korona Kielce,1:0
26/27,1,Górnik Zabrze,Śląsk Wrocław,2:1
26/27,1,Zagłębie Lubin,Piast Gliwice,2:0
26/27,1,Lech Poznań,Cracovia Kraków,0:0
26/27,2,Motor Lublin,Jagiellonia Białystok,1:2
26/27,2,Korona Kielce,Górnik Zabrze,
26/27,2,Wieczysta Kraków,Lech Poznań,1:2
26/27,2,Cracovia Kraków,Pogoń Szczecin,0:2
26/27,2,Legia Warszawa,Zagłębie Lubin,3:1
26/27,2,GKS Katowice,Radomiak Radom,3:1
26/27,2,Śląsk Wrocław,Raków Częstochowa,2:1
26/27,2,Piast Gliwice,Wisła Kraków,4:3
26/27,2,Wisła Płock,Widzew Łódź,0:0
26/27,3,Korona Kielce,Legia Warszawa,1:1
26/27,3,Wisła Kraków,Wisła Płock,2:1
26/27,3,Radomiak Radom,Górnik Zabrze,1:3
26/27,3,Pogoń Szczecin,Motor Lublin,3:1
26/27,3,Raków Częstochowa,Zagłębie Lubin,
26/27,3,GKS Katowice,Wieczysta Kraków,
26/27,3,Śląsk Wrocław,Cracovia Kraków,0:0
26/27,3,Jagiellonia Białystok,Widzew Łódź,0:2
26/27,3,Lech Poznań,Piast Gliwice,3:0
26/27,4,Motor Lublin,GKS Katowice,1:0
26/27,4,Cracovia Kraków,Raków Częstochowa,2:1
26/27,4,Legia Warszawa,Radomiak Radom,5:0
26/27,4,Widzew Łódź,Korona Kielce,1:2
26/27,4,Piast Gliwice,Wieczysta Kraków,3:4
26/27,4,Jagiellonia Białystok,Pogoń Szczecin,
26/27,4,Górnik Zabrze,Wisła Kraków,2:1
26/27,4,Zagłębie Lubin,Śląsk Wrocław,2:1
26/27,4,Wisła Płock,Lech Poznań,
26/27,5,Korona Kielce,Motor Lublin,1:1
26/27,5,Cracovia Kraków,Wieczysta Kraków,3:2
26/27,5,Radomiak Radom,Zagłębie Lubin,0:0
26/27,5,Pogoń Szczecin,Wisła Kraków,2:2
26/27,5,Raków Częstochowa,Górnik Zabrze,1:2
26/27,5,GKS Katowice,Wisła Płock,5:0
26/27,5,Śląsk Wrocław,Widzew Łódź,3:3
26/27,5,Piast Gliwice,Legia Warszawa,1:1
26/27,5,Lech Poznań,Jagiellonia Białystok,2:1
26/27,6,Motor Lublin,Piast Gliwice,0:2
26/27,6,Wisła Kraków,Wieczysta Kraków,2:0
26/27,6,Radomiak Radom,Cracovia Kraków,2:1
26/27,6,Legia Warszawa,Śląsk Wrocław,1:1
26/27,6,Raków Częstochowa,Jagiellonia Białystok,2:5
26/27,6,Widzew Łódź,Lech Poznań,2:3
26/27,6,Górnik Zabrze,GKS Katowice,2:3
26/27,6,Zagłębie Lubin,Pogoń Szczecin,0:0
26/27,6,Wisła Płock,Korona Kielce,0:2
26/27,7,Motor Lublin,Legia Warszawa,2:3
26/27,7,Korona Kielce,Wisła Kraków,1:1
26/27,7,Wieczysta Kraków,Zagłębie Lubin,
26/27,7,Cracovia Kraków,Górnik Zabrze,
26/27,7,Pogoń Szczecin,Wisła Płock,
26/27,7,Widzew Łódź,Radomiak Radom,0:0
26/27,7,Piast Gliwice,GKS Katowice,3:0
26/27,7,Jagiellonia Białystok,Śląsk Wrocław,
26/27,7,Lech Poznań,Raków Częstochowa,
26/27,8,Wisła Kraków,Jagiellonia Białystok,
26/27,8,Radomiak Radom,Piast Gliwice,
26/27,8,Legia Warszawa,Widzew Łódź,
26/27,8,Pogoń Szczecin,Wieczysta Kraków,
26/27,8,Raków Częstochowa,Motor Lublin,
