sezon,kolejka,gospodarz,gosc,wynik
26/27,8,Śląsk Wrocław,Korona Kielce,
26/27,8,Górnik Zabrze,Lech Poznań,
26/27,8,Zagłębie Lubin,GKS Katowice,
26/27,8,Wisła Płock,Cracovia Kraków,
26/27,9,Motor Lublin,Górnik Zabrze,
26/27,9,Korona Kielce,Raków Częstochowa,
26/27,9,Wisła Kraków,Śląsk Wrocław,
26/27,9,GKS Katowice,Cracovia Kraków,
26/27,9,Widzew Łódź,Wieczysta Kraków,
26/27,9,Piast Gliwice,Pogoń Szczecin,
26/27,9,Jagiellonia Białystok,Legia Warszawa,
26/27,9,Zagłębie Lubin,Wisła Płock,
26/27,9,Lech Poznań,Radomiak Radom,
26/27,10,Wieczysta Kraków,Wisła Płock,
26/27,10,Cracovia Kraków,Zagłębie Lubin,
26/27,10,Radomiak Radom,Motor Lublin,
26/27,10,Legia Warszawa,Wisła Kraków,
26/27,10,Pogoń Szczecin,Korona Kielce,
26/27,10,Raków Częstochowa,GKS Katowice,
26/27,10,Śląsk Wrocław,Lech Poznań,
26/27,10,Piast Gliwice,Widzew Łódź,
26/27,10,Jagiellonia Białystok,Górnik Zabrze,
26/27,11,Motor Lublin,Śląsk Wrocław,
26/27,11,Wieczysta Kraków,Raków Częstochowa,
26/27,11,Cracovia Kraków,Legia Warszawa,
26/27,11,GKS Katowice,Pogoń Szczecin,
26/27,11,Widzew Łódź,Wisła Kraków,
26/27,11,Górnik Zabrze,Piast Gliwice,
26/27,11,Zagłębie Lubin,Jagiellonia Białystok,
26/27,11,Wisła Płock,Radomiak Radom,
26/27,11,Lech Poznań,Korona Kielce,
26/27,12,Motor Lublin,Zagłębie Lubin,
26/27,12,Korona Kielce,GKS Katowice,
26/27,12,Wisła Kraków,Raków Częstochowa,
26/27,12,Legia Warszawa,Lech Poznań,
26/27,12,Pogoń Szczecin,Radomiak Radom,
26/27,12,Śląsk Wrocław,Wieczysta Kraków,
26/27,12,Widzew Łódź,Górnik Zabrze,
26/27,12,Piast Gliwice,Cracovia Kraków,
26/27,12,Jagiellonia Białystok,Wisła Płock,
26/27,13,Wieczysta Kraków,Jagiellonia Białystok,
26/27,13,Cracovia Kraków,Motor Lublin,
26/27,13,Radomiak Radom,Śląsk Wrocław,
26/27,13,Raków Częstochowa,Pogoń Szczecin,
26/27,13,GKS Katowice,Widzew Łódź,
26/27,13,Górnik Zabrze,Legia Warszawa,
26/27,13,Zagłębie Lubin,Korona Kielce,
26/27,13,Wisła Płock,Piast Gliwice,
26/27,13,Lech Poznań,Wisła Kraków,
26/27,14,Motor Lublin,Wisła Płock,
26/27,14,Korona Kielce,Radomiak Radom,
26/27,14,Wisła Kraków,Cracovia Kraków,
26/27,14,Legia Warszawa,Raków Częstochowa,
26/27,14,Śląsk Wrocław,Piast Gliwice,
26/27,14,Widzew Łódź,Pogoń Szczecin,
26/27,14,Jagiellonia Białystok,GKS Katowice,
26/27,14,Górnik Zabrze,Wieczysta Kraków,
26/27,14,Lech Poznań,Zagłębie Lubin,
26/27,15,Wieczysta Kraków,Motor Lublin,
26/27,15,Cracovia Kraków,Jagiellonia Białystok,
26/27,15,Radomiak Radom,Wisła Kraków,
26/27,15,Pogoń Szczecin,Śląsk Wrocław,
26/27,15,Raków Częstochowa,Widzew Łódź,
26/27,15,GKS Katowice,Lech Poznań,
26/27,15,Piast Gliwice,Korona Kielce,
26/27,15,Zagłębie Lubin,Górnik Zabrze,
26/27,15,Wisła Płock,Legia Warszawa,
26/27,16,Korona Kielce,Cracovia Kraków,
26/27,16,Wisła Kraków,Motor Lublin,
26/27,16,Legia Warszawa,Wieczysta Kraków,
26/27,16,Raków Częstochowa,Piast Gliwice,
26/27,16,Śląsk Wrocław,GKS Katowice,
26/27,16,Widzew Łódź,Zagłębie Lubin,
26/27,16,Jagiellonia Białystok,Radomiak Radom,
26/27,16,Górnik Zabrze,Wisła Płock,
26/27,16,Lech Poznań,Pogoń Szczecin,
26/27,17,Motor Lublin,Lech Poznań,
26/27,17,Wieczysta Kraków,Korona Kielce,
26/27,17,Cracovia Kraków,Widzew Łódź,
26/27,17,Radomiak Radom,Raków Częstochowa,
26/27,17,Pogoń Szczecin,Górnik Zabrze,
26/27,17,GKS Katowice,Legia Warszawa,
26/27,17,Piast Gliwice,Jagiellonia Białystok,
26/27,17,Zagłębie Lubin,Wisła Kraków,
26/27,17,Wisła Płock,Śląsk Wrocław,
26/27,18,Motor Lublin,Widzew Łódź,
26/27,18,Korona Kielce,Jagiellonia Białystok,
26/27,18,Wieczysta Kraków,Radomiak Radom,
26/27,18,Cracovia Kraków,Lech Poznań,
26/27,18,Legia Warszawa,Pogoń Szczecin,
26/27,18,GKS Katowice,Wisła Kraków,
26/27,18,Śląsk Wrocław,Górnik Zabrze,
26/27,18,Piast Gliwice,Zagłębie Lubin,
26/27,18,Wisła Płock,Raków Częstochowa,
26/27,19,Wisła Kraków,Piast Gliwice,
26/27,19,Radomiak Radom,GKS Katowice,
26/27,19,Pogoń Szczecin,Cracovia Kraków,
26/27,19,Raków Częstochowa,Śląsk Wrocław,
26/27,19,Widzew Łódź,Wisła Płock,
26/27,19,Jagiellonia Białystok,Motor Lublin,
26/27,19,Górnik Zabrze,Korona Kielce,
26/27,19,Zagłębie Lubin,Legia Warszawa,
26/27,19,Lech Poznań,Wieczysta Kraków,
26/27,20,Motor Lublin,Pogoń Szczecin,
26/27,20,Wieczysta Kraków,GKS Katowice,
26/27,20,Cracovia Kraków,Śląsk Wrocław,
26/27,20,Legia Warszawa,Korona Kielce,
26/27,20,Widzew Łódź,Jagiellonia Białystok,
26/27,20,Piast Gliwice,Lech Poznań,
26/27,20,Górnik Zabrze,Radomiak Radom,
26/27,20,Zagłębie Lubin,Raków Częstochowa,
26/27,20,Wisła Płock,Wisła Kraków,
26/27,21,Korona Kielce,Widzew Łódź,
26/27,21,Wieczysta Kraków,Piast Gliwice,
26/27,21,Wisła Kraków,Górnik Zabrze,
26/27,21,Radomiak Radom,Legia Warszawa,
26/27,21,Pogoń Szczecin,Jagiellonia Białystok,
26/27,21,Raków Częstochowa,Cracovia Kraków,
26/27,21,GKS Katowice,Motor Lublin,
26/27,21,Śląsk Wrocław,Zagłębie Lubin,
26/27,21,Lech Poznań,Wisła Płock,
26/27,22,Motor Lublin,Korona Kielce,
26/27,22,Wieczysta Kraków,Cracovia Kraków,
26/27,22,Wisła Kraków,Pogoń Szczecin,
26/27,22,Legia Warszawa,Piast Gliwice,
26/27,22,Widzew Łódź,Śląsk Wrocław,
26/27,22,Jagiellonia Białystok,Lech Poznań,
26/27,22,Górnik Zabrze,Raków Częstochowa,
26/27,22,Zagłębie Lubin,Radomiak Radom,
26/27,22,Wisła Płock,GKS Katowice,
26/27,23,Korona Kielce,Wisła Płock,
26/27,23,Wieczysta Kraków,Wisła Kraków,
26/27,23,Cracovia Kraków,Radomiak Radom,
26/27,23,Pogoń Szczecin,Zagłębie Lubin,
26/27,23,GKS Katowice,Górnik Zabrze,
26/27,23,Śląsk Wrocław,Legia Warszawa,
26/27,23,Piast Gliwice,Motor Lublin,
26/27,23,Jagiellonia Białystok,Raków Częstochowa,
26/27,23,Lech Poznań,Widzew Łódź,
26/27,24,Wisła Kraków,Korona Kielce,
26/27,24,Radomiak Radom,Widzew Łódź,
26/27,24,Legia Warszawa,Motor Lublin,
26/27,24,Raków Częstochowa,Lech Poznań,
26/27,24,GKS Katowice,Piast Gliwice,
26/27,24,Śląsk Wrocław,Jagiellonia Białystok,
26/27,24,Górnik Zabrze,Cracovia Kraków,
26/27,24,Zagłębie Lubin,Wieczysta Kraków,
26/27,24,Wisła Płock,Pogoń Szczecin,
26/27,25,Motor Lublin,Raków Częstochowa,
26/27,25,Korona Kielce,Śląsk Wrocław,
26/27,25,Wieczysta Kraków,Pogoń Szczecin,
26/27,25,Cracovia Kraków,Wisła Płock,
26/27,25,GKS Katowice,Zagłębie Lubin,
26/27,25,Widzew Łódź,Legia Warszawa,
26/27,25,Piast Gliwice,Radomiak Radom,
26/27,25,Jagiellonia Białystok,Wisła Kraków,
26/27,25,Lech Poznań,Górnik Zabrze,
26/27,26,Wieczysta Kraków,Widzew Łódź,
26/27,26,Cracovia Kraków,GKS Katowice,
26/27,26,Radomiak Radom,Lech Poznań,
26/27,26,Legia Warszawa,Jagiellonia Białystok,
26/27,26,Pogoń Szczecin,Piast Gliwice,
26/27,26,Raków Częstochowa,Korona Kielce,
26/27,26,Śląsk Wrocław,Wisła Kraków,
26/27,26,Górnik Zabrze,Motor Lublin,
26/27,26,Wisła Płock,Zagłębie Lubin,
26/27,27,Motor Lublin,Radomiak Radom,
26/27,27,Korona Kielce,Pogoń Szczecin,
26/27,27,Wisła Kraków,Legia Warszawa,
26/27,27,GKS Katowice,Raków Częstochowa,
26/27,27,Widzew Łódź,Piast Gliwice,
26/27,27,Górnik Zabrze,Jagiellonia Białystok,
26/27,27,Zagłębie Lubin,Cracovia Kraków,
26/27,27,Wisła Płock,Wieczysta Kraków,
26/27,27,Lech Poznań,Śląsk Wrocław,
26/27,28,Korona Kielce,Lech Poznań,
26/27,28,Wisła Kraków,Widzew Łódź,
26/27,28,Radomiak Radom,Wisła Płock,
26/27,28,Legia Warszawa,Cracovia Kraków,
26/27,28,Pogoń Szczecin,GKS Katowice,
26/27,28,Raków Częstochowa,Wieczysta Kraków,
26/27,28,Śląsk Wrocław,Motor Lublin,
26/27,28,Piast Gliwice,Górnik Zabrze,
26/27,28,Jagiellonia Białystok,Zagłębie Lubin,
26/27,29,Wieczysta Kraków,Śląsk Wrocław,
26/27,29,Cracovia Kraków,Piast Gliwice,
26/27,29,Radomiak Radom,Pogoń Szczecin,
26/27,29,Raków Częstochowa,Wisła Kraków,
26/27,29,GKS Katowice,Korona Kielce,
26/27,29,Górnik Zabrze,Widzew Łódź,
26/27,29,Zagłębie Lubin,Motor Lublin,
26/27,29,Wisła Płock,Jagiellonia Białystok,
26/27,29,Lech Poznań,Legia Warszawa,
26/27,30,Motor Lublin,Cracovia Kraków,
26/27,30,Korona Kielce,Zagłębie Lubin,
26/27,30,Wisła Kraków,Lech Poznań,
26/27,30,Legia Warszawa,Górnik Zabrze,
26/27,30,Pogoń Szczecin,Raków Częstochowa,
26/27,30,Śląsk Wrocław,Radomiak Radom,
26/27,30,Widzew Łódź,GKS Katowice,
26/27,30,Piast Gliwice,Wisła Płock,
26/27,30,Jagiellonia Białystok,Wieczysta Kraków,
26/27,31,Wieczysta Kraków,Górnik Zabrze,
26/27,31,Cracovia Kraków,Wisła Kraków,
26/27,31,Radomiak Radom,Korona Kielce,
26/27,31,Pogoń Szczecin,Widzew Łódź,
26/27,31,Raków Częstochowa,Legia Warszawa,
26/27,31,GKS Katowice,Jagiellonia Białystok,
26/27,31,Piast Gliwice,Śląsk Wrocław,
26/27,31,Zagłębie Lubin,Lech Poznań,
26/27,31,Wisła Płock,Motor Lublin,
26/27,32,Motor Lublin,Wieczysta Kraków,
26/27,32,Korona Kielce,Piast Gliwice,
26/27,32,Wisła Kraków,Radomiak Radom,
26/27,32,Legia Warszawa,Wisła Płock,
26/27,32,Śląsk Wrocław,Pogoń Szczecin,
26/27,32,Widzew Łódź,Raków Częstochowa,
26/27,32,Jagiellonia Białystok,Cracovia Kraków,
26/27,32,Górnik Zabrze,Zagłębie Lubin,
26/27,32,Lech Poznań,GKS Katowice,
26/27,33,Motor Lublin,Wisła Kraków,
26/27,33,Wieczysta Kraków,Legia Warszawa,
26/27,33,Cracovia Kraków,Korona Kielce,
26/27,33,Radomiak Radom,Jagiellonia Białystok,
26/27,33,Pogoń Szczecin,Lech Poznań,
26/27,33,GKS Katowice,Śląsk Wrocław,
26/27,33,Piast Gliwice,Raków Częstochowa,
26/27,33,Zagłębie Lubin,Widzew Łódź,
26/27,33,Wisła Płock,Górnik Zabrze,
26/27,34,Korona Kielce,Wieczysta Kraków,
26/27,34,Wisła Kraków,Zagłębie Lubin,
26/27,34,Legia Warszawa,GKS Katowice,
26/27,34,Raków Częstochowa,Radomiak Radom,
26/27,34,Śląsk Wrocław,Wisła Płock,
26/27,34,Widzew Łódź,Cracovia Kraków,
26/27,34,Jagiellonia Białystok,Piast Gliwice,
26/27,34,Górnik Zabrze,Pogoń Szczecin,
26/27,34,Lech Poznań,Motor Lublin,
